[ 2026-03-22 23:24:04,829 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-22 23:24:08,261 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-22 23:24:08,261 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-22 23:24:08,261 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-22 23:24:08,299 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-22 23:24:08,300 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-22 23:24:08,305 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-22 23:24:08,317 ] 31 root - INFO - Required number of columns:2
[ 2026-03-22 23:24:08,317 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-22 23:24:08,317 ] 31 root - INFO - Required number of columns:2
[ 2026-03-22 23:24:08,317 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-22 23:24:08,414 ] 28 root - INFO - data Validation Completed
[ 2026-03-22 23:24:08,415 ] 31 root - INFO - data Transformation started
[ 2026-03-22 23:24:08,415 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-22 23:24:08,415 ] 64 root - INFO - Starting data transformation
[ 2026-03-22 23:24:08,430 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-22 23:24:08,430 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-22 23:24:08,442 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-22 23:24:08,444 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-22 23:24:08,444 ] 35 root - INFO - data Transformation completed
[ 2026-03-22 23:24:08,445 ] 37 root - INFO - Model Training sstared
[ 2026-03-22 23:26:16,256 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-22 23:26:16,257 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-22 23:26:16,257 ] 102 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_22_2026_23_24_04\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9903206291591047, precision_score=0.9881287726358149, recall_score=0.9925222312045271), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9790382244143033, precision_score=0.9730392156862745, recall_score=0.9851116625310173))
[ 2026-03-22 23:26:16,260 ] 42 root - INFO - Model Training artifact created
