[ 2026-03-22 23:22:52,099 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-22 23:22:59,631 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-22 23:22:59,632 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-22 23:22:59,632 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-22 23:22:59,664 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-22 23:22:59,664 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-22 23:22:59,673 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-22 23:22:59,686 ] 31 root - INFO - Required number of columns:2
[ 2026-03-22 23:22:59,686 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-22 23:22:59,687 ] 31 root - INFO - Required number of columns:2
[ 2026-03-22 23:22:59,687 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-22 23:22:59,784 ] 28 root - INFO - data Validation Completed
[ 2026-03-22 23:22:59,784 ] 31 root - INFO - data Transformation started
[ 2026-03-22 23:22:59,784 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-22 23:22:59,784 ] 64 root - INFO - Starting data transformation
[ 2026-03-22 23:22:59,797 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-22 23:22:59,797 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-22 23:22:59,806 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-22 23:22:59,808 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-22 23:22:59,809 ] 35 root - INFO - data Transformation completed
[ 2026-03-22 23:22:59,809 ] 37 root - INFO - Model Training sstared
