[ 2026-03-23 12:28:19,391 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-23 12:28:39,600 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-23 12:28:39,601 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-23 12:28:39,601 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-23 12:28:39,642 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-23 12:28:39,642 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-23 12:28:39,689 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-23 12:28:39,714 ] 31 root - INFO - Required number of columns:2
[ 2026-03-23 12:28:39,714 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-23 12:28:39,714 ] 31 root - INFO - Required number of columns:2
[ 2026-03-23 12:28:39,714 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-23 12:28:39,868 ] 28 root - INFO - data Validation Completed
[ 2026-03-23 12:28:39,869 ] 31 root - INFO - data Transformation started
[ 2026-03-23 12:28:39,869 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-23 12:28:39,869 ] 64 root - INFO - Starting data transformation
[ 2026-03-23 12:28:39,892 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-23 12:28:39,892 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-23 12:28:39,950 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-23 12:28:39,954 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-23 12:28:39,956 ] 35 root - INFO - data Transformation completed
[ 2026-03-23 12:28:39,956 ] 37 root - INFO - Model Training sstared
