[ 2026-03-23 12:41:09,453 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-23 12:41:32,312 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-23 12:41:32,312 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-23 12:41:32,313 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-23 12:41:32,353 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-23 12:41:32,353 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-23 12:41:32,399 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-23 12:41:32,428 ] 31 root - INFO - Required number of columns:2
[ 2026-03-23 12:41:32,428 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-23 12:41:32,428 ] 31 root - INFO - Required number of columns:2
[ 2026-03-23 12:41:32,428 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-23 12:41:32,549 ] 28 root - INFO - data Validation Completed
[ 2026-03-23 12:41:32,550 ] 31 root - INFO - data Transformation started
[ 2026-03-23 12:41:32,550 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-23 12:41:32,550 ] 64 root - INFO - Starting data transformation
[ 2026-03-23 12:41:32,575 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-23 12:41:32,576 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-23 12:41:32,616 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-23 12:41:32,619 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-23 12:41:32,621 ] 35 root - INFO - data Transformation completed
[ 2026-03-23 12:41:32,621 ] 37 root - INFO - Model Training sstared
[ 2026-03-23 12:44:15,693 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-23 12:44:15,694 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-23 12:44:15,694 ] 127 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_23_2026_12_41_07\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9904490957122536, precision_score=0.9878394811511958, recall_score=0.9930725346373268), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9769475357710652, precision_score=0.9700078926598263, recall_score=0.9839871897518014))
[ 2026-03-23 12:44:15,700 ] 42 root - INFO - Model Training artifact created
